,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
401,"Cincinnati, OH",University of Cincinnati,software+development,"
Professional development including increasing knowledge of Higher Education as an industry, development tools and practices and business skills....",Software Applications Developer ERP - University of Cincinna...,software+development,Indeed
402,"Powell, OH",GAIN Capital,software+development,"
Strong understanding in design, development and debugging of multithreading software projects. Solid skills in performing the entire software development life...",Software Engineer,software+development,Indeed
403,"Columbus, OH",Heitmeyer Consulting,software+development,"
Polyglot development skills. Test Driven Development mindset. Development experience in CSS, Saas, Java Script, JQuery, Jasmine & Git....",Front End Web Developer,software+development,Indeed
404,"Columbus, OH 43221 (Upper Arlington area)",AutoDesSys,software+development,"
Is seeking a software engineer with expertise in application development for Windows and/or OS X , Andriod and I OS operating systems....",Software Developer - Application OS Interface Engineer,software+development,Indeed
405,United States,"A2Z Development Center, Inc.",software+development,"7+ years of experience doing hands-on software development, with experience writing Linux kernel (.drivers or core) code....",Senior Software Development Engineer – Linux Kernel- Relocat...,software+development,Indeed
406,"Cincinnati, OH 45208",Northrop Grumman,software+development,Candidate must be proficient in low-level software development and integration in an embedded systems environment....,DSP/FPGA Engineer 4,software+development,Indeed
407,"Cincinnati, OH",Apple & Associates Inc,software+development,"Contribute to the development and maintenance of Information Security policies, standards, procedures, and guidelines....",IT Security Engineer,software+development,Indeed
408,"Dayton, OH","Clear Creek Applied Technologies, Inc.",software+development,"
The Junior Systems Engineer must have some experience with software development. Software testing and documentation....",Junior Systems Engineer,software+development,Indeed
409,"Cincinnati, OH 45245",Total Quality Logistics (TQL),software+development,"
Individuals will be included in a 2 year career development program working alongside our elite team of developers and key business partners to assist in new...",IT CAP - Software Development,software+development,Indeed
410,"Cincinnati, OH 45202 (Mount Adams area)",Ascendum Solutions,software+development,"
Installs software packages and/or personal computer software. Assures that hardware and software operate efficiently....",.NET Developer,software+development,Indeed
411,"Columbus, OH 43213 (Whitehall area)",Safe Auto Insurance Company,software+development,"
Advanced knowledge of application development theory and practice, including Software Development methodologies, Object Oriented Programming and component based...",Programmer Analyst,software+development,Indeed
412,"Columbus, OH 43201 (Weinland Park area)",Battelle,software+development,"
+ Demonstrated proficiency in C/C++, C#, and/or Java software development. + Some proficiency in Microsoft Windows and Linux software development and operating...",Software Engineer,software+development,Indeed
413,"Cincinnati, OH 45241",GOLD MEDAL PRODUCTS COMPANY,software+development,"
Demonstrates strong application development skills and at times may lead small projects. Designs, develops and tests complex software components and user...",Programmer/Developer,software+development,Indeed
414,"Cincinnati, OH 45202 (Mount Adams area)","GBBN Architects, Inc.",software+development,"
Provide solutions through data analysis, code review, editing, query development and testing; Ability and desire to quickly learn new and changing software on...",Programmer,software+development,Indeed
415,"Cincinnati, OH",University of Cincinnati,software+development,"
SOFTWARE APPLICATIONS DEVELOPER. Daily programming, development, maintenance, monitoring, performance analysis, trouble shooting, problem resolution, and user...",Software Applications Developer - College of Medicine,software+development,Indeed
416,"Columbus, OH",West Corporation,software+development,"
Do you get excited about finding new ways of configuring software to help solve communication challenges?...",Java Software Engineer,software+development,Indeed
